CU2524,With over 25 years of experience our expert Kuoni Leisure Groups team can tailor make private holidays for groups of 15 or more to any destination in the world - that's over 100 destinations. We specialise in more destinations than anybody else offering you more flexibility more choice and more expertise. Between us we've travelled to each and every destination featured so there will always be someone to answer even the most detailed questions more important to us making sure your group are perfectly matched with your holiday destination.  With over 100 year's heritage in creating worldwide holidays we've developed some excellent relationships with our hotels agents and airline partners. As a result we are able to offer you many added extras all with our compliments.  You and your group will be looked after by the same member of the Kuoni Leisure Groups team from your initial call to the time your group returns from overseas ensuring that we give you the best possible service throughout your booking journey.  To give you extra peace of mind 24 hours a day 365 days a year our Emergency Helpline means we're never far away this is manned by fully trained Kuoni staff should anything go wrong either at home or away.  ABTA/ATOL protected to give you assurance that your holiday with Kuoni Travel Ltd is financially protected.   We work hard to be a responsible tour operator and respect the people of the world culture the wildlife and environments we work in. To this end we work closely with Born Free and have donated over £110000 in the last couple of years to environmental projects in Africa and offer a carbon offsetting scheme should you wish to make your journey carbon neutral.
CU2530,Asset Management
CU2568,Edwards is a leading global supplier of integrated solutions for the manufacture of semiconductors flat panel displays LEDs and solar cells and a leader in vacuum technology for industrial pharmaceutical chemical scientific process glass coating and food packaging industries as well as a wide range of R&D applications.  We employ around 3000 people worldwide in the design manufacture and support of high technology vacuum and exhaust management equipment.  We offer a wide range of other pumping technologies and related products supported by an international sales and service organisation.
CU2587,Company profile  Petroleum Geo-Services (PGS) offers a broad range of products including; seismic and electromagnetic services data acquisition processing reservoir analysis/interpretation and multi-client library data. We help oil companies to find oil and gas reserves offshore worldwide.  Overview PGS was founded in Norway in 1991 with 2 seismic ships and some highly innovative ideas on how to reshape the industry. Today we share the same drive to innovate as inspired our founders though the team is bigger: 14 offshore seismic vessels 21 data processing centers 35 offices worldwide employing 67 nationalities PGS has a presence in over 25 countries with regional centers in London Houston and Singapore. Our headquarters is in Oslo Norway and the PGS share is listed on the Oslo stock exchange (OSE:PGS).
CU2603,50868  Harvey Nichols is an international luxury lifestyle store renowned both in the UK and internationally for the breadth and depth of its exclusive fashion merchandise. It offers many of the world's most prestigious brands in womenswear menswear accessories beauty food and home.   Harvey Nichols currently has stores in London Bristol Manchester Edinburgh Birmingham and Leeds in the UK Dublin in the Republic of Ireland a store in Riyadh Saudi Arabia in Hong Kong China in Dubai UAE Istanbul Turkey and a further store in Jakarta Indonesia. The London flagship store is located in the heart of Knightsbridge London's most fashionable and exclusive shopping district.   In addition to its fashion retailing business Harvey Nichols successfully redeveloped the top floor of the London flagship store to create a Restaurant Bar Café Wine Shop and Foodmarket which have become destinations in their own right. A similar concept operates from the top floors of all Harvey Nichols full-size stores.  Harvey Nichols launched its first stand-alone restaurant in 1996 the highly successful Oxo Tower Restaurant Bar and Brasserie with spectacular views of the River Thames.  A further restaurant Prism opened in the financial district of the City of London in 1999.
CU2610,Engineering construction management and development services worldwide.
CU2651,The CIPD is the professional body for those involved in the management and development of people.
CU2654,The Royal Academy of Arts has a unique position in being an independent privately funded institution led by eminent artists and architects whose purpose is to promote the creation enjoyment and appreciation of the visual arts through exhibitions education and debate.  History The Academy was founded by George III in 1768. The 34 founding Members were a group of prominent artists and architects including Sir Joshua Reynolds and Sir William Chambers who were determined to achieve professional standing for British art and architecture. They also wanted to provide a venue for exhibitions that would be open to the public; and to establish a school of art through which their skills and knowledge could be passed to future generations of practitioners.
CU2656,Since our establishment in 1991 we have become the largest financial investor in our region of operations which stretches from central Europe and the Western Balkans to central Asia. With the ability and willingness to bear risk on behalf of our clients we help their countries in the region to become open market economies. We are owned by 61 countries the European Union and the European Investment Bank.   Key Facts •We invest mainly in private enterprises •We have a network of more than 1000 clients across our region of operations •We build financial stability strong corporate growth and modern infrastructures •We promote sustainability energy efficiency and low carbon economies
CU2660,The vision of the VMD is the responsible safe and effective use of veterinary medicinal products. In working towards achieving this vision the VMD aims to protect public health animal health the environment and promote animal welfare by assuring the safety quality and efficacy of veterinary medicines.
CU2673,"Serving Global Health Care Needs We are a global broad-based health care company devoted to discovering new medicines new technologies and new ways to manage health. Our products span the continuum of care from nutritional products and laboratory diagnostics through medical devices and pharmaceutical therapies. Our comprehensive line of products encircles life itself - addressing important health needs from infancy to the golden years.  Abbott has sales manufacturing research and development and distribution facilities around the world close to where our customers need us to be. We are recognized for our global reach and our ability to serve our customers around the world.    Turning Science into Caring Throughout our 120+ year history Abbott people have been driven by a constant goal: to advance medical science to help people live healthier lives. It's part of our heritage. And it continues to drive our work. Today more than 72000 employees around the world share the passion for "" Turning Science Into Caring."" It's a commitment to focusing on what matters most: life and the potential it holds when we are feeling our best.    Winning in the Workplace Abbott prides itself on being recognized as a good place to work because we strive to provide an environment that enables employees to succeed. We have received numerous local national and international distinctions for our commitment to workplace excellence. Our programs range from award winning health care benefits to a variety of convenience and wellness services and long-term retirement benefits"
CU2697,Euro Garages is one of the UK's largest privately-owned forecourt operators.   Each year we distribute approximately 300 million litres of fuel across an expanding portfolio of 78 sites located in the North of England and Midlands and have a turnover of £260 million on a run rate basis.   We strive to offer a high quality experience on each of our forecourts driven by a commitment to excellent customer service and the provision of added-value services including convenience retail and fast food.
CU2701,Gist’s 5000 employees operate out of 40 locations providing a full range of supply chain solutions in the UK and globally including continental Europe Asia Pacific and America. Gist’s customers (which include Marks & Spencer British Airways Carlsberg Bakkavör Uniq Dairy Crest and Linde) operate in a wide range of commercial and industrial sectors including grocery retail electronics and gas.  Gist’s outstanding achievements have been recognized by industry awards for supply chain excellence and innovation environment and safety and women in transport.   Gist Limited is a member of The Linde Group
CU2735,The Royal Academy of Arts has a unique position in being an independent privately funded institution led by eminent artists and architects whose purpose is to promote the creation enjoyment and appreciation of the visual arts through exhibitions education and debate.  History The Academy was founded by George III in 1768. The 34 founding Members were a group of prominent artists and architects including Sir Joshua Reynolds and Sir William Chambers who were determined to achieve professional standing for British art and architecture. They also wanted to provide a venue for exhibitions that would be open to the public; and to establish a school of art through which their skills and knowledge could be passed to future generations of practitioners.
CU2774,Those that can teach
CU2778,"Part of International Power...First Hydro Company is one of the UK's most dynamic electricity generators responsible for the management and operation of the pumped storage plants at Dinorwig and Ffestiniog in the Snowdonia region of Wales. First Hydro is owned by a joint venture of International Power plc and Mitsui & Co. Ltd.	 ...more."
CU2833,Bytes Software Microsoft  Symantec  Citrix
CU2846,Established in 1921 the National Pharmacy Association is the UK's leading trade body for community pharmacy.  Using the strength of one united voice the NPA can influence UK wide decisions taken by other bodies government bodies and agencies and to represent the interests of our members to the European Parliament.  As a UK-wide trade association for community pharmacy our mission is focused on ensuring our members pharmacy owners prosper commercially and professionally through their integrated role in preventative healthcare and the treatment of illness.
CU2861,Pharmaceuticals
CU2913,Headquartered in Singapore we are an industry-leading Fortune Global 500 design manufacture distribution and after-market services company supporting OEM requirements across four business groups: High Reliability Solutions (aerospace and defense medical and automotive industries) High Velocity Solutions (mobile consumer and computing manufacturing products) Industrial and Emerging Industries (kiosk and self server solutions renewable energy products semiconductor capital equipment LED manufacturing/LED lighting office automations smart grid and test measurement) and Integrated Network Solutions (networking and communication enterprise and home connectivity server and storage power and Global Services).
CU2926,Spire Healthcare is a leading provider of private healthcare with 37 private hospitals throughout the UK. The company is built on a proud heritage of over 25 years experience of running successful private hospitals. The company was formed from the sale of BUPA Hospitals to Cinven in 2007 followed by the purchase of Classic Hospitals and Thames Valley Hospital in 2008.
CU2949,Cardinal Maritime is one of the worlds fastest growing consolidator and the home of The Captain the bastion of honest honourable and transparent business practice.  Choose any moment and you will recognise an organisation at the forefront of an industry. Beginning with the entrepreneurial spirit of the founder members the leadership of the Company has maintained rapid development through invention and innovation.  In 1999 Cardinal Maritime launched a new concept in the form of the FREIGHTcalculator ™ a product designed to provide fully transparent pricing for all consolidation services offered. With this concept a new industry was born: ‘on-line freight pricing'; the ability to generate a fully inclusive and transparent freight price to and from any port served by Cardinal Maritime.  Under the watchful eye of The Captain and his crew the Cardinal Maritime network of services continued to grow at an incredible pace. The services eastwards from the United Kingdom into The Mediterranean the Middle-East The Canaries Africa India The Far East and then westwards into North and South America. By the end of 2004 Cardinal Maritime was established as a leading brand in over 90 countries.  At the beginning of 2001 Cardinal Maritime launched a pattern of acquisitions and brand development that would by the end of 2007 secure shareholding in Ital Logistics Migrate Global Cardinal Plus and Origin Logistics. The Company has also developed a strategy of opening offices outside the U.K. which currently includes South Africa Ireland and Holland.
CU2983,Nice Chap
CU2984,Stokes Forgings Group is the largest forging supplier in the United Kingdom supplying medium to large volume ferrous forgings in the range 0.2kg to 35kg.
CU2999,Action for Children is committed to helping the most vulnerable and neglected children and young people in the UK break through injustice deprivation and inequality so they can achieve their full potential.
CU3063,DP9 is established as one of the leading expert consultancies in planning development and regeneration in the UK. The partnership is an independent practice providing advice to major developers and landowners on the most exciting and challenging town planning projects. DP9 is currently advising on over 7500000 sq.m of floorspace for clients in both the private and public sectors
CU3092,60158  At QBE we provide Specialist Business Insurance for just about every sort of business.  Whatever sector you’re in the chances are we’ll have detailed in-depth expertise in that area.  We do all our business through insurance brokers. Talk to yours or explore this site if you’d like to find out more about QBE first.
CU3141,55140
CU3156,Radnor Hills is one of the fastest growing soft drinks manufacturers in its sector in the UK we constantly invest in new packaging technologies to stay ahead of the market and employ a dedicated product development team who blend award winning drinks and this is reflected in the sales of our products worldwide and has led to Radnor Hills being awarded the coveted Queens Award for Enterprise.  We were established in 1989 on the family farm in picturesque Mid Wales. The Radnor Hills source of mineral water and the Heartsease source of spring water are totally unique a fresh clean sustainable source of pure mineral rich water with a delicate taste. This water is bottled under the Radnor Hills Mineral Water label and Heartsease spring water label as well as being blended with pure fruit juices or natural fruit flavours to create refreshing soft drinks for all sectors of the market.   Our small but perfectly formed team are totally committed to our responsibility to protect our environment and sustain our resources and we have an ongoing strategy for reducing packaging waste carbon emissions and our impact on the environment as well as supporting ethical projects such as the One Water foundation with which we are closely involved
CU3183,Venom IT is a Cheshire based IT Services Company supporting all kinds of businesses throughout Cheshire and the UK. As a specialist IT support Company and a Microsoft certified partner Venom IT provide a high quality unique tailored service designed to fit your business requirements. Large or small Venom IT are on hand to offload the administrative burden of any IT issues whilst also complimenting your existing skills and resources.
CU3195,Allied International Credit was founded in Ontario Canada in 1955. In 1968 the Company expanded its operations into the United Kingdom and in 2000 it expanded into the United States when the Company opened its first US office in Phoenix Arizona. Today AIC employs over one thousand people in seven production locations in Canada the United Kingdom and the United States.
CU3197,Specialist Language & Sports College
CU3203,Local knowledge. National reach.  Rettie & Co are Scotland’s leading independent firm of property specialists. We help clients all over the world sell and let quality property in Scotland – from city-centre flats or garages in Edinburgh and Glasgow to premium family homes to rural estates.  Our five offices across Scotland offer a range of property services and expertise including:  •Residential Sales •Letting & Management •Farms & Estates •Land & Development •New Homes •Consultancy & Research •Professional Valuations In all these areas our experienced staff aim high seeking to offer clients the best possible results service and advice.  If you’d like more information about our services or how we can help you sell buy let or develop a property please feel free to contact us.
CU3204,TS16949 ISO 18001 continuous improvement cost reduction programmes continuous investment and updating of our equipment is where Eastland Compounding is today. The future is accreditation to the international environmental standard ISO 14001 and continued stratergy of supply to Europe.  The beginnings were at Middleton in Manchester - the home of British Vita – over 40 years ago.   During the sixties British Vita was developing its own rubber moulding capability Vitamol Ltd based at Middleton. The subsequent purchase of The Stalybridge Rubber Company to add to their own rubber requirements resulted in an ever- increasing demand for rubber compounds.   In order to supply these companies British Vita decided to install a compounding facility in Middleton. The facility grew very quickly and soon demand became larger then capacity.   In order to gain extra capacity an established compounding company was purchased in 1969 named British Recovered Rubber based in Clayton Manchester. British Vita now had two compounding sites and a decision was taken to create an internal rubber compounding division and name it Vitacom.   A large capital investment redevelopment plan was immediately implemented at the Clayton site. Slowly the Clayton site rivalled the Middleton site for capacity which by now had developed a significant coloured compounding business with roller die down stream equipment.   Improvements continued with Vitacom becoming the first British Vita company to achieve accreditation to BS 5750 Part I. During this period the Clayton site became the head office of the company.   Over the next few years British Vita developed more of a global strategy which did not include Vitacom. This prompted the purchase discussions via E3g Ltd of the sale of Vitacom. E3g Ltd was formed as a purchase vehicle by the management of Vitacom. An agreement was reached and the transaction took place at the end of November 2001.   Eastland Compounding was subsequ
CU3210,School
CU3222,JTI - Japan Tobacco International is the international tobacco business of Japan Tobacco the world's third largest industry player with a global market share of 11% and market capitalization of approximately USD 32 billion.  Our group was formed in 1999 when Japan Tobacco Inc. purchased for USD 8 billion the international tobacco operations of the US multinational R.J.Reynolds.  In 2007 Gallaher a FTSE 100 business was acquired by Japan Tobacco for GBP 9.4 billion. At the time this was the largest foreign acquisition by a Japanese company.  We are a young industry player built on solid tobacco experience and rich heritage dating back to the 18th century.
CU3229,Phoenix Electroplating Ltd are specialists in Hard chrome & electrolytic nickel deposition on rollers cylinders and shafts.  These items are used in many kinds of machines; paper making and printing machines embossed cylinders for wallpaper and other materials rollers used in the manufacture of plastic sheet and film shafts & rams used in hydraulic equipment and much more.
CU3253,.
CU3258,IT Recruitment
CU3340,Primary School
CU3361,As the UK's largest provider of enhanced annuities and the second largest provider of equity release lifetime mortgages we are well placed to help you make the most of your retirement.
CU3365,Yum! Brands Inc. based in Louisville Ky. is the world's largest restaurant company in terms of system restaurants with nearly 38000 restaurants in over 110 countries and territories and more than 1 million associates. Yum! is ranked #216 on the Fortune 500 List and generated more than $11 billion in revenue in 2010. The Company's brands - KFC Pizza Hut and Taco Bell – are the global leaders of the chicken pizza and Mexican-style food categories.
CU3381,Welcome to Threadneedle Investments. We are a leading international asset manager with a strong track record of outperformance across asset classes. We actively manage £77bn (at 31 March 2012) investing on behalf of individuals pension funds private wealth managers insurers and corporations.  Threadneedle's distinctive investment approach is based on creative thinking sharing of ideas and rigorous debate an approach that we believe enables us to out-think and out-perform for our clients. Our 130 investment professionals invest across developed and emerging market equities fixed income commodities and UK property.  With a presence in 16 countries Threadneedle is the international asset management arm of Ameriprise Financial a leading US diversified financial services company and one of the 30 largest asset management firms globally.
CU3404,Primary School
CU3407,Security Company
CU3408,Key Facts  Established in 2001 Cofunds is the UK's largest independent platform for financial services:  It is impartial as it does not offer advice or its own funds It accounts for 26% of the UK platform market It has three core propositions called investor wealth and enterprise which provide five services for a mix of retail and institutional clients It has assets under administration (AUA) in excess of £39bn (as at 01.04.12)
CU3414,School
CU3426,Asgard Marketing provides marketing advice and support services to the UK IT and Technology channel. We help all channel stakeholders maximise investment in marketing to drive mutual growth. With the right marketing plans properly executed resellers leverage more funds to develop their business distributors scale their offering and add-value whilst vendors see go-to-market objectives achieved.  Run by channel experts we help fill the gaps in marketing capability that exist across the channel complementing whatever resource you may or may not have in place today. If you'd like to know about what we do and who we do it for let's talk.
CU3428,llmakes 4x4 specialises in the supply of high quality parts and accessories suitable for vehicles within the Land Rover range. If you own a workshop or parts business and you require Land Rover parts then we can help
CU3446,Franchise company for Kentucky Fried Chicken
CU3449,We’re an end-to-end IT services supplier with over 30 years experience in all aspects of Network Infrastructure IT Deployment and IT Services and Support. Our recently launched IT Outsourcing services will significantly reduce your costs whilst maintaining or improving service delivery standards and providing you with true 24 x 7 support whatever the time of day.  Our unique Onshore (UK) and Nearshore (Sofia Bulgaria) operating structure will provide you with great services at highly competitive prices and an integrated and complete IT solution. Our service portfolio is backed by unrivalled expertise fine-tuned project management skills and the very latest IT intelligence. Our accreditations from some of the industry’s leading vendors including Microsoft Gold is testament to all of these attributes and a symbol of our professionalism.  We work across a wide range of market sectors from our five UK Service Delivery Centres and our European Support Centre in Bulgaria. We deliver a totally reliable and responsive service irrespective of your location and the nature of your work. While we have particular experience working within retail finance defence health education hospitality and leisure we have the in-house resource and expertise to deliver solutions across any market sector.
CU3454,Numed is a modern forward thinking company with over 20 years experience providing healthcare equipment to Primary and Secondary Care. We are totally committed to delivering a 'complete solution'. We are here to help you maintain the highest level of care possible for your patients.   OUR PRODUCTS We understand the increasing demands that today's busy practice is under. That's why all Numed products are designed to make life easier for you. They simplify tests and procedures save time and maximise QOF potential. In many cases our solutions will also help to reduce costs. All diagnostic and monitoring products are fully validated for accuracy and reliability. All products meet or exceed all relevant safety standards. Our first class technical support service in conjunction with extended warranty as standard on some products ensures complete peace of mind
CU3475,We deliver top quality accounting tax and business advice on the full range of financial commercial and other matters that our clients face.  The high standards that we set ourselves are evident in everything we do.
CU3479,Mawdsleys are a pharmaceutical wholesaler offering a wide range of services to the healthcare sector and pharmaceutical industry. Their commitment to excellence and high service levels has gained the company its reputation as a leading partner to the healthcare sector both primary and secondary care pharmaceutical industry and academic institutes.
CU3489,Auriga Holdings has been a KFC franchisee for over 30 years currently operating 11 franchises - Auriga Holdings also owns a commercial property portfolio.  In addition Auriga Holdings has two wholly owned subsidiaries Nexus Foods Ltd and Orion Foods Ltd whose principal business activities include KFC restaurants located in East London and within five of the home counties.   Orion Foods operates the KFC stores located in Upton Park Waltham Cross Canning Town Enfield Highway and Hoddesdon.   Nexus Foods operates the KFC stores located in East Ham Dagenham West Wickham Caterham and Chingford.   Auriga Holdings also operates a High Street restaurant in Barking Essex under a different trading vehicle.  The portfolio contains a mixture of facility types including Drive-Thru and High Street restaurants as well as Express units
CU3506,Amsric has been a KFC franchisee for close to 20 years currently operating 20 restaurants across the south of England stretching from the Tower of London across to Penzance in Cornwall.
CU3510,Seychelles Fishing Authority The Seychelles Fishing Authority (SFA) is a parastatal organization which functions as the executive arm of Government for fisheries and related matters.  The Authority was created in August 1984 by the Seychelles Fishing Authority (Establishment) Act at a time of intense development in the sector.  The SFA's operations are guided by a Board of Directors appointed by the President of the Republic of Seychelles
CU3537,BDL Management is the UK’s largest multi brand and hotel management company for both branded hotels as well as unique standalone hotels. Specialising in developing and managing hotel assets for owners BDL has built 30 hotels (3850 rooms developed) and presently manage 45 hotels under management contract (November 2011).
CU3545,Wiltshire County Council
CU3547,IT Technician for several schools.
CU3565,FAST Service Provider to KFC
CU3570,Study@UCLan  At UCLan your future is our commitment. We want to provide you with the advantage you will need to thrive in the career of your choice through our high quality teaching first-class facilities our support and our links to some of the world’s most exciting researchers and employers. Against a background of ‘real world’ research we encourage innovation creativity and entrepreneurial thinking.  That’s why UCLan has been rated Top Modern University in the NW for the 6th year running by The Sunday Times Good University Guide.
CU3587,Rathbone Brothers Plc through its subsidiaries is one of the UK’s leading providers of investment management services for private clients charities and professional advisers.  Key facts about Rathbone Brothers Plc:  FTSE 250 listed company Online 2011 report and accounts A heritage dating back to 1742 11 offices across the UK with an offshore presence in Jersey 190 experienced investment professionals £16.81 billion of funds under management* Over 35000 clients Rathbone Investment Management Limited and Rathbone Pension & Advisory Services Limited are authorised and regulated by the Financial Services Authority
CU3593,Bank of St. Helena is established and regulated in St. Helena under the Banking Ordinance 2003 and the Bank of St. Helena Ordinance 2003.   It commenced operations on 1st April 2004.  At its creation Bank of St. Helena inherited the assets and accounts of the former Government Savings Bank (in St. Helena) and the Ascension Island Savings Bank both of which then ceased to exist.  Since its launch in 2004 the bank has introduced many new services aimed at making financial services more readily available to its clients.
CU3608,Mining and rock excavasion. Part of Epiroc UK account.
CU3643,Xodus Group is an independant international energy consultancy founded on an integrated approach to engergy challenges. Operating worldwide in two key energy markets - Oil & Gas and Low Carbon - Xodus fosters a dynamic culture that encourages strategic thinking.  Over a short period of time Xodus has established a formidable reputation for integrated strategic support. Thanks to a comprehensive suite of technical competancies we can add value to every phase of a study or project - from front end analysis and risk based decision making to  technology development and operational support.
CU3644,At Ericsson we are using innovation to empower people business and society. Our mobile and fixed networks multimedia solutions and telecom services make a real difference to people’s lives and the world we live in and are an essential part of a sustainable society.
CU3645,If you're planning a holiday to the UK looking for hotels and accommodation in Britain or simply after UK travel attractions or events information VisitBritain.com has everything you need to know.
CU3805,As an independent system integrator our solutions span the gap between traditional industrial controls and business IT systems and are used to drive process performance improve energy management and manage regulatory compliance.   With over 250 engineers we are recognised for innovation project delivery quality and safety.  We design deliver and support systems that are mission critical for our clients drawing on over 40 years' experience to provide pragmatic solutions in a complex market.   Capula is part of Imtech - a European technical services provider with a €5.1bn turnover company and over 28000 staff (including 3300 in the UK).
CU3818,Me
CU3828,dB Broadcast Founded in 1989 dB Broadcast is one of the UK’s largest and most successful independent systems integrators with a full time staff of approximately 50. It is unique in having its own large in-house team of wiring supervisors & technicians and the employees have more than 750 years of broadcast experience and a proven track record in the management design installation and commissioning of broadcast projects.  The company operates from three purpose-built 22000 square foot premises near Cambridge where it prefabricates and tests systems to cut down on valuable on-site time. This capability is extremely important as the timescale for many major projects is increasingly short.  dB also designs and markets broadcast products including the successful Hawkeye range of switching and monitoring modules the market leading Showman analogue TV receiver and system integration products such as the Cardinal range of MDUs.  dB Broadcast is a totally independent private limited company. This independence from other manufacturers and equipment suppliers is essential in ensuring that the company can supply the most appropriate technology to meet customer’s requirements and provide best value for money.
CU3838,Look Ahead provides specialist support and care services to people with a variety of needs. We are a dynamic and innovative organisation. We have been supporting people across London and the South East for almost forty years and are committed to growing our support and care services. We work with people whose lives can be challenging and at times chaotic. We support each customer as an individual to take control of their support achieve their goals and aspirations and move towards a positive independent future. As an organisation we have always been shaped and led by our customers. Today we are proud that we continue to work in partnership with them to deliver innovative services of the highest quality. We work in partnership with local authorities and health trusts to provide specialist support and care services to:  People with mental health needs People with learning disabilities Young people care leavers and teenage parents Homeless individuals and families People with offending and sex work histories People with substance misuse needs People experiencing/fleeing domestic abuse People with physical disabilities
CU3844,The fashion destination where you can shop over 850 brands including vintage and second hand buy your favourite hair and beauty brands create and share looks keep up-to-date with street style and catwalk reports and even sell your fashion cast-offs via ASOS Marketplace.
CU3849,"The DE Group are the only short line wholesaler with multiple depots across the UK. With the benefit of strong group buying power they offer: • Exceptional value to customers;  •	Market leading product range;  •	Twice daily deliveries;  •	Dedicated local account managers."
CU3850,LUXURY AT THE DOCK This haven from the hustle and bustle of London life offers peace and tranquillity in modern surroundings with cutting edge business facilities and personalised service. Whether you want to hide in one of the cosy alcoves or experience the bar’s extensive wine list or take advantage of a breezy summer’s day on the al fresco terrace this is the location to encounter your perfect urban hideaway. Crowne Plaza London Docklands offers 4 star accommodation in one of London’s fastest growing districts and the heart of the 2012 iconic sporting victories. We are just minutes from key event locations such as the ExCel Exhibition Centre The O2 Arena and Stratford City. Utilise our complimentary shuttle to Canary Wharf and simplify your journey to London City Airport with our onsite taxi company making us the number one choice for a London City Airport hotel connection. Within easy reach of London’s best tourist attractions the hotel is a moment’s walk from Royal Victoria the Docklands Light Railway station which connects you to the Underground network and all of London’s family friendly tourist sites. Corporate travellers will find all they need for business success from 9 modern conference rooms with floor to ceiling windows that boast stunning views of the Royal Docks The O2 and Canary Wharf through to the 210 bedrooms complete with flat screen televisions high speed internet and air conditioning.
CU3877,"Formerly known ad CSE-Global UK  The Servelec Group is a UK-based technology group with significant intellectual property providing software hardware and services predominantly to the UK healthcare oil & gas nuclear power utilities and broadcast sectors.  The Servelec Group now operates two divisions:  Servelec Healthcare and Servelec Automation.  The origins of the Group’s business were in the design and manufacture of control systems for the Sheffield steel industry. Since that time Servelec has grown both organically and by acquisition and now operates two divisions: Servelec Healthcare and Servelec Automation.  Servelec Healthcare specialises in the design development and implementation of Electronic Patient Record (""EPR"") software within secondary care settings and is a market leader in the Mental Health and Community Health sectors in England. Servelec Automation provides complex mission-critical control systems to large blue-chip companies mainly in the UK. Servelec Automation provides the whole lifecycle of services from consultancy through to design implementation delivery installation and on-going customer support and maintenance."
CU3902,Personal Purchase Staff - KFC
CU3914,City & Suburban Waste Services is a privately owned and family run business offering a wide range of commercial waste and recycling services across London and the South East at highly competitive prices.    We have over 15 year’s industry experience and have built a long list of clients who are pleased to confirm the quality and reliability of our service. We believe customer satisfaction is at the heart of any successful business and so we always strive to deliver service without compromise.
CU3919,With a well-established reputation and 40 years’ experience in private hearing healthcare Hidden Hearing is dedicated to providing the highest standard of care possible.
CU3933,About Hidden Hearing  With a well-established reputation and 40 years’ experience in private hearing healthcare Hidden Hearing is dedicated to providing the highest standard of care possible.  More than 100000 people trust us to test and care for their hearing every year. Find out what makes us stand out from the crowd.  After 40 years of treating hearing loss we’re proud that we’ve become a name our clients can trust. We understand how important your hearing is to you and at Hidden Hearing our national network of experts are on hand to help make a positive difference to your life by caring for your hearing. We’re also proud of our customer service and believe that the personal touch and bespoke services we offer can go a long way to making our clients feel comfortable with us.  As providers of healthcare it’s important to us that the advice we give and the products we recommend are of the absolute highest quality and so our friendly and approachable network of staff is experienced and highly trained even striving where possible to improve a customer’s hearing without an aid. Our hearing tests are free and carry no obligation and we aim to provide a wide range of hearing aids from the finest manufacturers professionally tested and fitted and with an aftercare package that’s second to none and lasts the life of the hearing aid
CU3942,High School
CU3945,NP Aerospace is now one of the largest thermosetting moulding companies in Europe. We manufacture an extensive range of products in engineering thermoset and composite materials for a wide variety of customers in the Defence Aerospace Electrical Automotive and Medical Industries.
CU3955,Situated on the edge of Cranbrook The High Weald Academy is an exciting and innovative 11-18 school which welcomes students of all abilities and aims to provide them with the skills and qualifications needed to turn them into confident and successful citizens.
